patent_id,ai_dummy,patent_abstract
4990969,0," A primary imaging member, for example, a photoconductive web is used to form a series of primary toner images. Each toner image in the series is transferred to a separate secondary imaging member. The secondary image members can be drums covered by blank master sheets. Masters are formed on the secondary imaging members defined by the primary toner image. For example, the primary toner images can be fused to the master sheets to form xeroprinting masters. The masters are used to form transferable color images that are transferred back to the primary imaging member in registration to form a multicolor image. The multicolor image can be transferred to a receiving sheet. "
5124741,0," Apparatus, and an accompanying method, for use in illustratively a photographic camera for selecting shutter speed and lens aperture values to provide a given exposure level in a captuerd image, e.g. a photograph, of a scene. Specifically, first an appropriate shutter speed value is initially selected as that which sufficiently reduces image blur attributable to camera shake. The shutter speed selection is based upon lens focal length and, where appropriate, camera shake data obtained through either accessing stored camera shake data or measuring actual real-time shake data. Once the shutter speed has been selected, then the lens aperture value is initially chosen as that, which in conjuction with the selected shutter speed, provides a baseline, typically an ISO normal, exposure of the scene. If the chosen lens aperture provides a greater depth-of-field than that required by the scene, i.e, as defined by the location of primary and background subjects relative to the camera, then the lens aperture value is changed from its initially selected value to a new value that provides a depth-of-field which approximately matches the scene requirement. The shutter speed is then increased from its initially chosen value to a new value that, in conjunction with the changed lens aperture value, will still yield the baseline exposure and also advantgeously provide additional compensation against camera shake. "
5146497,0, This method of key distribution rekeys (605) a group of communication units (107) within an encrypted communication system with over-the-channel rekeying. The method uses a key management controller (101) to manage and distribute keys (1541) to a plurality of communication units and handle acknowledgments from the plurality of communication units that are delayed from receipt of the rekeying message. The rekeying message (615) is sent to any of the group of communication units (107) when an acknowledgment is not received (611) from one or more of the group of communication units (107). 
5160507,0, Ester-type ashless dispersants containing additional integral sulfur-ester moieties which have been found to possess enhanced thermal and oxidative stability are claimed. 
5177464,0," An on-board monitoring system for an automotive emission catalyst has (i) a test chamber remote from the automobile's engine exhaust gas stream; (ii) apparatus for supplying the chamber with sampled exhaust gases sequestered from the stream; (iii) a single hydrocarbon sensor exposed to the exhaust gas in the chamber to render a signal responsive to the concentration of hydrocarbon in the chamber; and (iv) apparatus for comparing the sensed signal with a reference signal, and, if a predetermined difference is exceeded, the catalyst is indicated as faulty. Apparatus (ii) has a supply channel interconnected between the chamber and the gas stream upstream of the catalytic converter, a supply channel independently interconnected between the chamber and the gas stream downstream of the catalytic converter, and valve apparatus for permitting flow-through of no more than one channel to the chamber at any one moment, preferably cycled at a certain frequency. Method steps carried out by the system comprise: (a) periodically transferring a sample quantity of gas from the stream into a test chamber at a predetermined flow rate; (b) exposing a hydrocarbon sensor to the sequestered gas to generate a signal in proportion to the content of hydrocarbon in such gas; and (c) comparing the signal with a reference signal to determine if a predetermined difference exists and thereby conclude the catalyst is sufficiently degraded. "
5242709,0," A body resistant to abrasion and transmissive to light is provided which is formed essentially of zinc sulfide or zinc selenide having incorporated therein small amounts of tellurium. The body can form a layer over zinc sulfide, zinc selenide, or a conventional substrate such as glass. The substrate is thereby protected against fracture and erosion by environmental forces, such as high velocity impact with rain or other atmospheric particles, encountered by aircraft at high speed and over extended periods of time. "
5295167,0," A pole storage caddy system includes a pole storage caddy for storing a set of service poles, a pole assembly work station, a motorized monorail pole hoist and a detachable auxiliary personnel work platform, all mounted on a rail truck-mounted rigid frame. The hoist is used to convey the pole sections between the storage caddy and work station during assembly and to support the weight of the pole assembly for in-vessel work. The pole assembly work station includes a two-position slotted keyway plate, the first position providing lateral restraint during torquing operations and the second position providing vertical support during pole assembly. "
5351112,0," An original feeding apparatus has a first original feeding means for directing an original to an original reading station from one side thereof in an original-stationary scanning mode in which the original is read while fixing the original at the original reading station, and a second original feeding means for directing then original to the original reading station from the other side thereof in an original-through scanning mode in which the original is read while shifting the original along the original reading station. "
5432928,1," A computer system and method for updating an object stored in a container. A container stored on a storage device includes a plurality of objects being ordered from a first object to a last object. One of the objects in the container is selected for updating and is read from the container into a computer memory where it is edited. Next, each of the objects ordered in the container after the selected object is moved to a new location within the container so that the selected object is overwritten. The container is then truncated after the last moved object. The edited selected object is then written from the memory and appended to the container. "
5455634,0," A dark level restoring circuit for a television receiver which receives a video signal, clamps a pedestal portion of the video signal to a reference pedestal level by a pedestal clamper, compares the output of the pedestal clamper with a reference dark level, and amplifies the compared result by a gain control amplifier. The output of the pedestal clamper and the amplified compared result are synthesized, the dark peak level is held, and the held dark peak level and the reference pedestal level are compared wherein the gain of the gain control amplifier is controlled by the compared result. A blanking signal is received, and a mute signal is generated which corresponds to a non-video signal portion when the effective raster size of the video signal is smaller than the size of a face plate of a cathode ray tube to which the video signal is supplied. The blanking signal and the mute signal are synthesized and a control signal is generated which controls the gain control amplifier such that its gain is minimized and the holding of the dark peak level is inactive. "
5496253,0," Apparatus and method are disclosed for preparing a preprinted book cover for application to a book block in a perfect binding system A double-walled tubular attachment strip is adhesively attached to the cover spine portion of successive covers in a continuous process. Covers are fed onto a conveyor at a constant speed with a spacing between covers and adhesive is applied to the spine areas. Simultaneously a continuous double-walled attachment strip with a longitudinal lap joint in one wall is formed without adhesive from a source of paper web stock and pressed, lap joint down, onto the cover spines to form a continuous string of covers. The attachment strip is cut by laser cutting beam between each cover while the covers are moving. The double-walled attachment strip is formed by pulling the web under constant tension through side scoring wheels, hold-down shoes, and forming devices which have surfaces to fold the edges of the moving web through 180.degree. toward each other to form a lap joint. Prior to forming the double-walled strip, job information is printed on the web stock at a location which appears as the inside surface of the wall of the strip opposite the longitudinal lap joint. Laser cutting is accomplished by moving a focused cutting beam in a plane normal to the plane of the strip transversely to the direction of movement of the strip. "
5504220,0," Disclosed is an improved process for the preparation of alpha-tocopherol by the hydroxymethylation followed by the hydrogenation of non-.alpha.-tocopherols comprising .beta.-, .gamma.-, and .delta.-tocopherols using a particular palladium on alumina catalyst wherein (1) the dispersion and depth of deposition of the palladium metal are within certain ranges, and (2) the alumina is of a particular crystalline phase. "
