firm_id,bus_description,esg_dummy
f00001,Enduring Ventures operates as a holding company inspired by Berkshire Hathaway. It buys great businesses and aims to hold them forever. It is looking for small and medium businesses with exceptionally big moats. The company utilizes open-book management and implement employee profit-sharing to enable the people doing the work to build wealth rather than merely act as employees,0
f00002,"Nezasaâ€™s travel booking solution empowers travel brands globally to combine all planning and booking related actions into one seamless end-to-end experience. Our tools, enable to plan and book any type of multi-product or multi-stop itinerary. TripBuilder Hyper-personalised packaging Real-time planning and booking of personalised itineraries Powerful, easy to use and very interactive Deep integration possibilities into existing fulfilment landscapes Enterprise-grade, proven with large TO customers TripBooster Hyper-personalised In-Destination Upselling The extension of TripBuilderâ€™s power throughout the entire travel lifecycle The perfect travel companion Seamless purchasing of perfectly fitting additional products Smart upselling recommendation, available in both a push and pull mode",0
f00003,"Brookerpaks produces pre-packed vegetables. Its products includes, garlic, ginger, vaccum packed sweet corn, beetroot, potatoes, chestnuts, shallots, onions, coconuts, butternut squash, and sweet potatoes. The company markets its products to supermarkets, food service, and wholesalers.",0
f00004,"Werbas is engages in the development and sale of system solutions for the automotive industry. Its product portfolio comprises WERBAS Passenger Cars, a program developed for car dealerships and repair businesses; WERBAS Commercial Vehicle, a program specially developed for commercial vehicle dealerships and repair businesses; WERBAS SHOP, a program for trade in parts and accessories; and WERBAS Compact, an introductory program to the IT-supported world of workshops.",0
f00005,"Since 2007, we have helped hundreds of companies achieve their business goals by providing world-class data operations and technology services. Our services are specifically tailored to help your business scale by providing a cost-effective approach to collecting, enriching, structuring, and maintaining data that is crucial to your business.    Our unparalleled â€œhigh-touchâ€ support provides exceptional value to our clients letting them focus on their clients and not operations.",0
f00006,"TradeUp is the premier digital finance platform for globalizing, export-driven companies, a rapidly growing and outperforming segment. Clients come to TradeUp to raise growth capital and access export finance.",0
f00007,"Since 1942, McNally Industries has served the United States Department of Defense and the worldâ€™s largest prime contractors with hydro-mechanical and electro-mechanical systems as well as complex, precision machined components for critical defense and aerospace applications. McNally is a full-service manufacturer providing product design and testing as well as build-to-print manufacturing. McNally's strength in design engineering coupled with extensive manufacturing experience provides a unique capability for product development, particularly for a small business. Their many product offerings and the engineering work they provide to the Department of Defense demonstrate these skills.",0
f00008,"Global Reviews scientifically measures and evaluates the effectiveness of the experience that you deliver to your customers.  Our analytics platform delivers unique customer and competitor insights to help you make decisions to improve marketing and sales performance.  Only Global Reviews continuously mines user consideration data on the online purchase cycle, across all key players in your industry.",0
f00009,"Asia Principal Capital is a corporate and strategic advisory firm specialising in technology acceleration and partnerships with high growth, differentiated companies, with a global outlook.",0
f00010,The Collaborative is the fastest growing premium plant-based yogurt and dessert brand.,0
f00011,"pedigital, situated in Cologne, Germany, is a technology specialist for internet based applications. pedigital creates and operates scalable products based on the newest IT technologies and is shareholder in multiple tech startups, where they mainly provide technical expertise and fulfill the CTO role. The company is part of a group of family-owned businesses with truly entrepreneurial roots.",0
f00012,"TechPro, has formed and provided IT infrastructure services and engineering support since 2001, is a computer system company with specialized IT technique and experience in Hong Kong. Also, accompanied with the expanding of our business, a subsidiary of Techpro Solutions Limited has formed to provide comprehensive IT solutions.",0
f00013,"is a mineral resource company based in Miramichi, New Brunswick and holds 29,000 hectares of mineral claims in the Bathurst Mining camp of New Brunswick.  High priority projects include Ramsay cobalt, Portage zinc, Connector zinc and Lower 44 zinc. In addition the Company owns the Menneval gold project where it discovered the Maisie gold zone.  SLAM also owns the Reserve Creek, Opikeigen and Miminiska gold properties in the gold producing Uchi Sub-province of northwest Ontario. The Company is seeking partners with both technical expertise and financial resources to continue with its strategies for project development. SLAMâ€™s long-term success depends on making discoveries, and the development of deposits into mines. While the companyâ€™s current portfolio has excellent potential, SLAM continually searches for new properties and potential acquisitions. SLAMâ€™s future may rest on the ability of management to select promising properties and to finance exploration on these properties.",0
f00014,"ChiefClouds focuses on government big data and industrial big data platform construction and application. The company provides industry + data intelligence products and solutions, and currently completes and carries out dozens of large-scale data including government traffic, environmental protection, credit, and power, finance, and other industries. ChiefClouds integrates the market's outstanding big data and Internet, large enterprise-level services, and industry business experience. Its members include Alibaba, Google, Easy Media, Tencent, Weibo, and other large Internet enterprise products and technology backbone; Microsoft, IBM, Oracle, SAP, and other excellent corporate service teams; senior experts in the vertical industry of marketing, security, government, power, and energy. ChiefClouds has set up branches in Shanghai, Beijing, Guangzhou, and Shijiazhuang, and has laboratories in Silicon Valley.",0
f00015,Porphyrio specializes in smart management systems for modern livestock facilities. Porphyrioâ€™s products focus on operational excellence by allowing farm managers to get the most out of available production data. These systems provide pro-active early warning based on advanced statistical algorithms.,0
f00016,Swept is a tech company that develop software solutions for the janitorial industry. Swept was founded by Matt Cooper and Michael Brown in August 2014 and is based in Nova Scotia.,0
f00017,"MAYLILY it feel love - with this in mind, they create the most delicate products that envelop the children and their mother.  Each of their products combines the exceptional softness of the fabric of unconventional design. They use only certified secure the highest quality materials. Products MAYLILY are absolutely unique in terms of design and projects. Their brand appreciation  is  not only in Poland but also in Western Europe and Asia.    Their flagship products include blankets and accessories Minky fabric, bamboo towels, cover padding, nappies, as well as unique additions: hats, balaclavas, scarves, butki. Unceasing admiration arouses a series of luxurious blankets and pillows Rosetta, designed specifically for women.",0
f00018,"Founded and headquartered in Austin, Texas, our team understands what it's like to live in the middle of a technological hotbed and how to help you compete in a crowded marketplace.  They're expert in understanding your solutions, engaging your audience, converting them to your clients, and even delivering a process by which you can repeat this success.  Best of all, they minimize your risk and share your success by partnering with their clients using pay-for-performance incentives.   Companies are constantly striving to generate more sales, but often lack the investment resources, organizational expertise, or operational tools needed to maximize this sales potential.  RevSource was born out of a common need to solve these problems, and many others like them.",0
f00019,"Agreeable is a new breed of primary research platform. Our unique Networked Surveyâ„¢ technology has a 20x multiplying effect on speed to insight, depth of insight, and reduction of bias and is a part of a well-diversified research portfolio. Our customers include communications experts, brand strategists, product researchers, and people operations teams at enterprise brands, agencies, membership orgs, and advocacy groups. Learn more at https://agreeableresearch.com/",0
f00020,Monetha is a financial services company that decentralizes Trust and Reputation System on the Ethereum blockchain. It works flawlessly together with mobile payment processing.,0
f00021,"Softworld is a staffing company providing solutions in Technology Services, Government, Life Sciences, Financial Services, Cyber Security, and Engineering. The company assists its clients and provides technical staffing, recruiting, and project services. Softworld was founded in 1993 by Michael Shuman and is based in Waltham, Massachusetts, United States.",0
f00022,"Element D Partners is a fast growing, China based, multi-dimensional recruitment and human resources consultancy, with an outstanding reputation in New Retail, Internet of Things, Digital & Data, Real Estate and Education sectors.  Recruitment is at the core of what we do and delivering outstanding results is our mantra. Hiring the right people for your organization is key to our business and we take immense pride in finding people who will not only add value but also compliment the dynamics of your organisation.  Our consultative approach to hr also allows us to offer dedicated HR & recruitment services to businesses ranging from: 1) Permanent recruitment  2) Talent mapping 3) Traits and motivation assessment 4) Career mentoring & outplacement services 5) Experts connecting & insights",0
f00023,"Established in 1983, H.W. Sands Corp is recognized as a global leader in the design and the manufacture of dyes, inks, and chemical solutions for the imaging industry.  With a focus on the Transaction Card, Security, Electrophotography, and Printing Markets, H.W. Sands can supply a wide range of unique solutions to enhance your customer offerings.   With Research, Development and commercialization capabilities we directly address market needs and customer opportunities. As a Majority Woman-Owned Small Business we look forward to the opportunity to serve you with a wide variety of available products.",0
f00024,"SPECS focuses on property damage assessments, restoration consulting, construction project administration, risk management, facility services, and catastrophic response.",0
f00025,"RevControl offers you all the insights and tools you need to increase your revenue - in one single online application. RevControl gives you the power to always be ahead of your competitors. By having all revenue forecasting in one dashboard you'll never miss a day with unexpected large pickup. You can easily turn your insights into action, and sell your rooms the right rate at the right time. You're in control of your hotel.",0
f00026,"Desyfin provide financing solutions to small and medium-sized Costa Rican companies, with responsibility, quality and excellence in the management of business relationships with our customers to meet  their needs and increase their growth opportunities.",0
f00027,"Harvest Capital Management is a fund management company, approved by the China Securities Regulatory Commission, that engages in specific client asset management business. Harvest Capital relies on the professional advantages, talent advantages, and risk control advantages of Harvest Fund in the securities investment management industry to carry out special asset management business on a broader basis and more flexibility. It is a subsidiary of Harvest Fund.",0
f00028,"Neighbourly is an award-winning giving platform that helps businesses make a positive impact in their communities by donating volunteer time, money and surplus products, easily.",0
f00029,Soothspace is the mobile platform that helps people get good advice.,0
f00030,FoodyDirect is an online marketplace bringing the most delicious food in the country right to the doorstep of your home or office.,0
f00031,"onitoring America was formed, the majority of smaller alarm companies were forced to pay their competition to monitor alarms. In most cases, the larger alarm companies were inflexible and unresponsive to the smaller companies needs. A few alarm company owners who came together for a common goal founded monitoring America in 1989. They saw an opportunity to pool their resources and create a better central station. Better because, being owners, they could shape it to fit their individual needs. Better because, the profits would be put back in their own pockets in the form of dividends. Better because, they would no longer be paying the competition for monitoring services. Time has proved them right and today Monitoring America serves over 100 companies and monitors over 20,000 homes and businesses. Monitoring America is growing quickly. They add several new members each year and their existing members add new customers daily. They are a UL listed central station. Underwriters Laboratory, offers certification only to those central stations that have conformed to strict policies regarding everything from computer integrity and staffing to building security. Monitoring America is unique in that their member companies each own a part of the company. A board of directors is elected by the general membership to represent their needs. The President answers directly to the board and is responsible for the overall operation. The President together with the management team and staff are responsible to produce the quality service provided by Monitoring America Alarm Co-Op.",0
f00032,"ProEnergy is an integrated service provider that delivers cost-effective, safe and reliable services to the global energy industry. Our resources, knowledge and experience allow us to quickly understand a customer's needs and provide innovative solutions throughout all phases of a power project's lifecycle.",0
f00033,Binky is an app that allows the users to scroll through an infinite feed of random and stress-free stuff. It is an infinite list of random things to look at. Scroll through the stuff when you want something to scroll through.,0
f00034,"HealthCap is a family of multi stage venture capital funds, investing globally in life sciences, with the Odlander Fredrikson Group as their exclusive investments advisor. With committed capital exceeding Ã¢â€šÂ¬ 800 million, HealthCap is one of the largest specialized provider of venture capital within life sciences Europe.",0
f00035,Prasan Solutions (India) Pvt Ltd focuses in developing a portfolio of natural preservatives for food and cosmetic industry. Enhancing shelf life and providing the benefits of natural antioxidants to consumers globally,0
f00036,"Tructyre Fleet Management provides commercial vehicle tire breakdown services for logistic, rental, waste management, municipal, and bus/coach fleets in Europe. The company offers on site commercial tire fitting services, such as balancing, alignment, regrooving, and general maintenance. It serves various customers that include local, regional, national, and international fleets.",0
f00037,"Active Ideas is the parent company of HOVR - the future of sitting --invented, founded and backed by medical health professionals, and validated by Mayo Clinic and the University of Illinois. HOVR has generated tremendous interest from consumers and both print and on-line media, reflecting the broad appeal of HOVR as it fills an area of great unmet need: Comfortably increasing activity to fight a sedentary lifestyle. Last year, HOVR surpassed its crowd-funding goal by more than 1300 percent on Indiegogo, and has shipped to 86 countries. HOVR has since â€œgone viralâ€ on-line.",0
f00038,mySociety runs websites that enrich the civic aspects of peoples lives and enable the public and nonprofit sectors to use technology more effectively to help citizens.,0
f00039,"Imago Techmedia connects knowledge, technology, and communication specialists and business leaders together. It generates leads and delivers ROI for the enterprise IT and tech sectors in the U.K. and across Europe. The company provides exhibitors, sponsors, and visitors with innovative, compelling, and cost-effective experiences. It excels in creating events that assists the industry in future proofing their IT and embracing the transition to digital enterprises. The customers of the company are Google, Microsoft, Facebook, amazon web services, and Hewlett Packard Enterprise. It leads generation campaign with measurable ROI, obtains delegate leads from seminar sessions, stand scans, and sponsorships, and pre-events online lead generation campaigns. Imago Techmedia is a U.K.-based company that was founded in 2004 and the company was acquired by Clarion Events on October 21, 2015.",0
f00040,A4 Holding was created to manage one of the most congested motorways in Italy and in Europe.,0
f00041,"LucidEra enables VPs of Sales to increase revenues and forecast predictability by delivering software-as-a-service business intelligence visibility and actionable insight. Unlike traditional business intelligence solutions, LucidEra delivers fast, easy-to-use and affordable SaaS applications that enable VPs of Sales to achieve dramatic sales improvement now.",0
f00042,Afara Websystems is a develops SPARC-based microprocessor technology for web-based and other large access servers.,0
f00043,"Ranked by U.S. News & World Report as one of the top business schools in the nation, the Graziadio School offers a wide continuum of doctoral, MBA, MS, and executive degree programs across multiple Southern California campuses. Through programs such as Education-to-Business (E2B) and Social, Environmentally, and Ethically Responsible (SEER) Business Strategy, we create opportunities for students to experience business in a way that George Graziadio intendedâ€”as Best for the World Leaders making a meaningful impact around the globe. Graziadio is an AACSB accredited business school.",0
f00044,"The team at Inline is highly knowledgeable in the management of pigging and pipeline maintenance applications including regular cleaning programs, corrosion problems including pitting and scaling and removal of troublesome deposits such as black powder, liquids and waxes.",0
f00045,"EvoLux Transportation is building the world's first helicopter charter marketplace.  Their web-based platform aggregates supply & demand to open up transparency in the reservation process, while also capitalizing on the utility of a rideshare product to drive utilization through collaborative consumption.    Those interested in taking a helicopter ride can choose between two types of bookings: either the whole helicopter, or just a seat (or two).  Their SkyLimo product will allow the former, while their SkyShare product will hypermarket opportunities to hop on an existing flight to optimize the $/seat-mile metric that helicopter operators use to manage their business.  Their thesis remains that the poor transparency in the market has yielded a highly fragmented industry full of inefficiencies.  Through the use of a centralized marketplace and intelligence-generating tools both for the consumer and operator, EvoLux will be causing a paradigm shift in regional travel by changing the perception of helicopter travel.",0
f00046,"Max Mobility Pvt Ltd. referred to as MaxMobility is an Enterprise Mobility Solution Company. Blending state-of-the-art technologies with cutting-edge methodologies, we develop different types of native and hybrid apps for enterprises (SMEs and Corporate Giants). From our first innovation of self- refreshing live ticker on the mobile platforms to the award-winning Child and bus tracking solution, our trendsetting products have become indispensable for millions of users.",0
f00047,"The Harvard Law Review is a student-run organization whose primary purpose is to publish a journal of legal scholarship. The Review comes out monthly from November through June and has roughly 2,500 pages per volume. The organization is formally independent of the Harvard Law School. Student editors make all editorial and organizational decisions and, together with a professional business staff of three, carry out day-to-day operations.",0
f00048,"Calabrian Holdings Corporation, a technology and market leader of sulphur dioxide and sodium based derivatives in North America. The company has production located in Texas and is currently building a facility in Ontario. The Calabrian plant in Texas is the largest producer in North America of SO2 [and sodium based derivatives]. The operation in Ontario Canada will add an additional 35,000 tonnes of capacity once completed at the end of 2016.",0
