patnum,ccmt_patent,patent_abstract
10000000,0,"A frequency modulated (coherent) laser detection and ranging system includes a read-out integrated circuit formed with a two-dimensional array of detector elements each including a photosensitive region receiving both return light reflected from a target and light from a local oscillator, and local processing circuitry sampling the output of the photosensitive region four times during each sample period clock cycle to obtain quadrature components. A data bus coupled to one or more outputs of each of the detector elements receives the quadrature components from each of the detector elements for each sample period and serializes the received quadrature components. A processor coupled to the data bus receives the serialized quadrature components and determines an amplitude and a phase for at least one interfering frequency corresponding to interference between the return light and the local oscillator light using the quadrature components."
10000001,0,"The injection molding machine includes a fixed platen, a moveable platen moving forward and backward by a toggle link, a base plate supporting the toggle link, a driving part for mold clamping to operate the toggle link, a driving part for mold thickness adjustment to adjust a mold thickness, and a control unit to calculate a movement distance gap before a clamping process by controlling the driving part for mold thickness adjustment to move the base plate backward and then move the base plate forward to a target movement position based on a fold amount of the toggle link, and control the driving part for mold thickness adjustment using a value obtained by deducting the movement distance gap from the fold amount of the toggle link when producing a clamp force."
10000002,0,"The present invention relates to: a method for manufacturing a polymer film, the method including a base film forming step for co-extruding a first resin containing a polyamide-based resin and a second resin containing a copolymer including polyamide-based segments and polyether-based segments; a co-extruded film including a base film including a first resin layer containing a polyamide-based resin, and a second resin layer containing a copolymer having polyamide-based segments and polyether-based segments; to a co-extruded film including a base film including a first resin layer and a second resin layer, which have different melting points; and to a method for manufacturing a polymer film, the method including a base film forming step including a step of co-extruding a first resin and a second resin, which have different melting points."
10000003,0,"The invention relates to a method for producing a container (2) from a thermoplastic, having at least one surround (4), provided in the container wall (1), for a container opening. The surround (4) comprises a structure behind which parts of the container wall (1) extend and/or which is penetrated by said parts. The method is carried out using a multi-part blow mold that has at least two mold parts, each having at least one cavity, wherein the surround is placed as an insert in the cavity (10) of the blow mold (7). The method comprises pressing the preform that has been forced into the cavity (10) into the structure of the surround (4) by means of a tool which is brought to bear on the preform (12) on the side of the preform facing away from the cavity (10)."
10000004,0,"The present invention relates to provides a double-oriented film, co-extrude, and of low thickness, with a layered composition that gives the property of being of high barrier to gases and manufactured by the process of co-extrusion of 3 bubbles, which gives the property of when being thermoformed, ensure the distribution of uniform thickness in the walls, base, folds, and corners of the formed tray saving a minimum of 50% of plastic without diminishing its gas barrier and its resistance to puncture."
10000005,0,"A vacuum forming apparatus is provided that forms an article having a covering bonded to the surface of a substrate in a molding space using a first mold and a second mold. The vacuum forming apparatus is provided with clamps for grasping the covering between the first and second molds arranged at the open positions. The clamps are movable between an interfering position, at which the clamps are located in the movement ranges of the first and second molds, and standby positions, at which the clamps are outside the movement ranges. After the covering is heated, the clamps grasping the covering move to the standby positions and stretch the covering. The first and second molds move to the closed positions and the article is molded between the first and second molds so that the stretched covering and the substrate are bonded to each other."
10000006,0,"A thermoforming mold device (1) providing a piece with a thin wall starting with a sheet of thermoplastic material is provided. At least one (3) of two parts of the mold (3, 3â€²) comprises at least one means (4) of local deformation of a sheet (2â€²) in the mold (3, 3â€²) in its closed state, the at least one means (4) comprises a piece of hollow molding with a peripheral edge, which can be connected selectively to a source of suction and can be displaced between a folded position, in which the molding piece is situated in close proximity with the wall of the thermoformed piece, and a deployed position, in which the molding piece is applied under pressure with its peripheral edge against the wall of the thermoformed piece upholding the other part of the mold."
10000007,0,"An expanding tool comprising: an actuator comprising a cylindrical housing that defines an actuator housing cavity; a primary ram disposed within the actuator housing cavity, the primary ram defining an internal primary ram cavity; a secondary ram disposed within the internal primary ram cavity; a cam roller carrier coupled to a distal end of the secondary ram; a drive collar positioned within a distal end of the actuator housing cavity; a roller clutch disposed within an internal cavity defined by an inner surface of the drive collar; a shuttle cam positioned between the roller clutch and a distal end of the primary ram; an expander cone coupled to the primary ram; and an expander head operably coupled to the drive collar."
10000008,0,"A decorated strip of coated, heat-shrinkable, plastic sheet material is placed in a spiral slot formed in a silicone rubber mold. The spiral slot is defined by a spiral wall having a uniform wall thickness. Upon heating in an oven, the material shrinks, forming a resiliently expansible arc-shaped band that can be worn as a bracelet or wristband."
10000009,0,"In sterile, additive manufacturing wherein one lamella is successively built upon an underlying lamella until an object is completed, a sterile manufacturing environment is provided. A major chamber large enough to accommodate the manufactured object has sterile accordion pleated sidewalls and a sterile top closed with flap valves. A minor chamber for supporting the nozzles positioned above the major chamber has similar valves in corresponding positions. Nozzles for material deposition penetrate the pair of valves to block air and particles from entry into the major chamber where the nozzles make layer by layer deposition of the object using XY areawise nozzle motion relative to the object as well as Z nozzle vertical motion with the major chamber expanding as the object is formed."
10000010,0,"3-D printing system include development stations positioned to electrostatically transfer build and support materials to an intermediate transfer surface, a transfer station adjacent the intermediate transfer surface, guides adjacent the transfer station, and platens moving on the guides. The guides are shaped to direct the platens to repeatedly pass the transfer station and come in contact with the intermediate transfer surface at the transfer station. The intermediate transfer surface transfers a layer of the build and support materials to the platens each time the platens contact the intermediate transfer surface at the transfer station to successively form layers of the build and support materials on the platens. The platens and the intermediate transfer surface include rack and pinion structures that temporarily join at the transfer station, as the platens pass the transfer station, to align the platens with the intermediate transfer surface as the platens contact the intermediate transfer surface."
10000011,0,"To reduce distortion in an additively manufactured part, a shrinking platform is formed from a metal particulate filler in a debindable matrix. Shrinking supports of the same material are formed above the shrinking platform, and a desired part of the same material is formed upon them. A sliding release layer is provided below the shrinking platform of equal or larger surface area than a bottom of the shrinking platform to lateral resistance between the shrinking platform and an underlying surface. The matrix is debound sufficient to form a shape-retaining brown part assembly including the shrinking platform, shrinking supports, and the desired part. The shape-retaining brown part assembly is heated to shrink all of the components together at a same rate via atomic diffusion."
10000014,0,"The present invention relates to a process for the production of at least two-layer thermoplastic foam sheets via thermal welding of at least two thinner thermoplastic foam sheets. In the process of the invention, at least two heating elements are conducted on mutually offset planes between the surfaces to be welded of the thinner thermoplastic foam sheets, and the foam sheets here do not touch the heating elements. The number of layers of the thermoplastic foam sheet is per se a result of the number of thinner thermoplastic foam sheets that are thermally welded to one another. If by way of example three thinner thermoplastic foam sheets are thermally welded to one another, a three-layer thermoplastic foam sheet is per se obtained, and if there are four thinner thermoplastic foam sheets the result is accordingly per se a four-layer thermoplastic foam sheet."
10000015,0,A hermetically sealed optical component includes an optical material including an optical material comprising quantum dots sealed between glass substrates by a hermetic seal including a liquid crystalline polymer.
10000016,0,A film edge sealing device is disclosed herein which has a groove defining a base. The base of the groove of the edge sealing device is oriented at a skewed angle with respect to a longitudinal direction of the conveyor of the heat sealing machine. Edges of a thermoplastic sheet or two stacked layers of thermoplastic sheets are introduced into the groove of the edge sealing device and placed in contact therewith to both heat and melt the edges of the thermoplastic sheet(s) to form a bead and join the edges thereof to form an edge bead seal.
10000017,0,"The invention relates to a method for securing an attachment (3, 33) to a component, in particular a rotor blade (1), in which the component is provided with an adhesion surface (36), the attachment (3, 33) is provided with a corresponding adhesion surface (9), the attachment (3, 33) is provided with an adhesive-conveying connection to the corresponding adhesion surface (9), the adhesion surface (36) is placed on the corresponding adhesion surface (9), a gap (53) is formed between the adhesion surface (36) and the corresponding adhesion surface (9), the attachment (3, 33) is pressed against the corresponding adhesion surface (9) and at the same time the adhesive (80) is injected into the gap (53) through the adhesive-conveying connection."
10000018,0,"A stretch release adhesive is disclosed. The stretch release adhesive can be used for extracting an electrical component from an interior surface of a housing of a mobile computing device. The stretch release adhesive can have a double-sided adhesive body configured to adhere the component to the interior surface of the housing. A portion of the double-sided adhesive body is configured to extend out from between the electrical component and the interior surface of the housing to provide a graspable portion. When the stretch release adhesive is adhered between the electrical component and the internal surface of the housing, the stretch release adhesive can receive a pulling force at the graspable portion. If pulled with enough force, the stretch release adhesive will extend outwardly from between the electrical component and the internal surface of the mobile computing device, then completely release the electrical component from the mobile computing device."
10000019,0,"An installation assembly and an associated method for forming a bonded join are provided to permit the adhesive attachment of a first workpiece, such as a patch, to a portion of a second workpiece. The installation assembly and the associated method provide for at least partial debulking of the adhesive prior to curing of the adhesive such that the resulting bondline may have improved mechanical properties as a result of having fewer voids and/or porosity. The installation assembly may include an installation stand and a carrier plate supported by the installation stand and including an attachment surface configured to carry the first workpiece. The installation stand also includes an adjustment mechanism for positioning a carrier plate to a first predefined position to define a gap between the first and second workpieces and also to a second predefined position such that a predetermined bondline thickness is defined between the first and second workpieces."
10000020,0,"A three-dimensional object printer enables forming portions of an object with a material having a higher melting temperature and a lower coefficient of friction. The printer includes a member, a printhead, and an applicator. A controller operates the printhead to eject a first material having a first coefficient of friction toward the member and operates the applicator to eject a second material having a second coefficient of friction toward the member. The second material has a higher melting temperature and a lower coefficient of friction than the first material. The printer further includes a curing device. The controller operates the curing device to direct radiation toward the member to cure the first material. The second material is cured into the first material."
10000021,0,"There is provided a method for manufacturing a three-dimensional shaped object. The method of the present invention comprises the repeated steps of: (i) forming a solidified layer by irradiating a predetermined portion of a powder layer with a light beam, thereby allowing a sintering of the powder in the predetermined portion or a melting and subsequent solidification thereof; and (ii) forming another solidified layer by newly forming a powder layer on the resulting solidified layer, followed by the irradiation of a predetermined portion of the powder layer with the light beam; wherein only the surface portion of the solidified layer, to which a force is applied when the three-dimensional shaped object is used, is subjected to a machining process."
10000022,0,"A process for manufacturing a three-dimensional object from a powder by selective sintering the powder using electromagnetic radiation. The powder comprises recycled PAEK. In one embodiment, the powder comprises recycled PEKK. In one embodiment, the powder comprises first recycle PEKK and second recycle PEKK. In one embodiment, the powder consists essentially of recycled PEKK. The process may include the step of maintaining a bed of a selective laser sintering machine at approximately 300 degrees Celsius and applying a layer of the powder to the bed. The average in-plane tensile strength of the three-dimensional object is greater than that of a three-dimension object manufactured by selective sintering using a powder comprising an unused PEKK powder."
10000023,0,"An apparatus and method for making a three-dimensional object from a solidifiable material using a linear solidification device is shown and described. In certain examples, the linear solidification device includes a laser diode that projects light onto a scanning device, such as a rotating polygonal mirror or a linear scanning micromirror, which then deflects the light onto a photohardenable resin. As a result, the linear solidification device scans a line of solidification energy in a direction that is substantially orthogonal to the direction of travel of the laser diode. In other examples, the linear solidification device is a laser device array or light emitting diode array that extends in a direction substantially orthogonal to the direction of travel of the array."
10000024,0,"An apparatus for controlling 3D printing includes an output determiner configured to determine, after generating a first control command to output a 3D object, whether an additional 3D object is able to be output through an output task for the 3D object, and a control command generator configured to generate a second control command to output a not-yet-output part of the 3D object and the additional 3D object if it is determined that the additional 3D object is able to be output through the output task."
